# Linear Increase
# n, time(s)
78, 0.9685071395
79, 1.1563612294999999
80, 1.3856140259999998
81, 1.6682111554999999
82, 2.0094717455
83, 2.4521714935
84, 2.94223503
85, 3.5099333374999997
86, 4.2252643464999995
87, 5.070951858
88, 6.113966392
89, 7.351614655500001
90, 8.921587414
91, 10.713659909
92, 12.89129617
93, 15.3919543365
94, 18.443803008
95, 22.36974101
96, 27.0902328495
97, 32.4383770015
98, 39.245667121
99, 46.452026258000004
100, 56.473032256500005
101, 67.851738943
# Exponential Increase
# n, time(s)
78, 0.9526155325
